"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sec61g",2.5683797030718e-12,-1.57205364967353,0.86,0.731,6.45408135584914e-08
"Zbp1",3.02494932379808e-12,-3.89876978152111,0.035,0.108,7.60139515577218e-08
"Arf5",3.30167274400905e-12,-0.988273777966242,0.29,0.48,8.29677343842034e-08
"Bcl7a",3.99598640053344e-12,5.39291700377973,0.126,0.247,1.00415142259005e-07
"Map1lc3a",4.29683230731521e-12,-0.534192433149251,0.248,0.395,1.07975099050524e-07
"Qk",4.38551915615766e-12,-0.688627676691268,0.106,0.224,1.10203710875086e-07
"B3gnt2",4.46160640673217e-12,-2.88369024656643,0.136,0.258,1.12115707394773e-07
"Eif3h",6.11327837779703e-12,-5.73168346391503,0.516,0.733,1.53620572355662e-07
"Pkm",6.15047749005709e-12,0.760400839604982,0.836,0.643,1.54555348847645e-07
"Srsf1",6.16127880938123e-12,-0.985864917897798,0.13,0.258,1.54826775200941e-07
"Gm47283",7.18388601026014e-12,3.65491700737865,0.092,0.202,1.80523871551827e-07
"Stmn1",8.37169540452864e-12,-2.39502508848508,0.034,0.103,2.103723338204e-07
"Mrpl34",9.68805492331451e-12,-0.797276638078065,0.105,0.222,2.4345113216797e-07
"Edf1",1.01171275118264e-11,0.896929967550143,0.402,0.599,2.54233297244684e-07
"Gfy",1.01632330997572e-11,-18.9704402236027,0.676,0.493,2.55391884563799e-07
"Klhl6",1.76963638524248e-11,-0.968926447797716,0.122,0.24,4.44691927247582e-07
"Dgkz",2.00697518404176e-11,-1.37525515541869,0.035,0.105,5.04332793997854e-07
"Slc6a6",2.17371608739412e-11,-0.504475158063688,0.196,0.341,5.46233115601268e-07
"Commd3",2.27088364898325e-11,-1.23519351485864,0.081,0.182,5.70650352153001e-07
"Ezh2",2.3721277184132e-11,4.30757953930591,0.06,0.146,5.96091974360053e-07
"C1galt1",2.40572610980963e-11,-2.54880246721605,0.13,0.251,6.04534914134062e-07
"Lamtor4",2.84857902133892e-11,-0.97880646968498,0.128,0.249,7.15819422272258e-07
"Gng13",2.9409782767596e-11,-39.4001619839737,0.853,0.648,7.39038431166919e-07
"Mrpl43",2.96206767970246e-11,-0.593301824783406,0.125,0.247,7.44337987232432e-07
"Rtn3",3.04894244097181e-11,0.736055396644057,0.122,0.247,7.66168745991806e-07
"Trim12c",3.18259658674547e-11,-1.28167834340188,0.104,0.215,7.99754696283268e-07
"Atraid",3.46198532653224e-11,-1.14310205011636,0.072,0.166,8.69962292704287e-07
"Unc93b1",3.49491333385594e-11,-1.97270811049679,0.315,0.475,8.78236771664659e-07
"Paip2",3.55993032427451e-11,-0.51001111953801,0.3,0.478,8.9457489118694e-07
"Aplp2",4.20369278413434e-11,-5.99021746781471,0.891,0.702,1.05634595972512e-06
"H2-Q7",4.27973857955353e-11,-5.14244734499631,0.189,0.323,1.07545550765601e-06
"Ndufb5",4.89809247511104e-11,1.67066047289695,0.332,0.522,1.23084165807065e-06
"H2-DMb2",5.32116499928135e-11,2.16744412966034,0.507,0.35,1.33715555266941e-06
"Slfn8",5.40181685654521e-11,-1.42135269314773,0.054,0.137,1.35742255788125e-06
"Slfn5",5.68716813517574e-11,1.11941477649403,0.041,0.112,1.42912848068831e-06
"Itga4",6.34066547916103e-11,-0.99311865026861,0.247,0.386,1.59334582825837e-06
"Chd9",6.65755945244902e-11,-2.74183234085873,0.106,0.215,1.67297811480591e-06
"Pycard",6.97138526939462e-11,2.8880470466919,0.122,0.238,1.75183940434617e-06
"Irf9",7.21184219259774e-11,-3.12767239005452,0.086,0.186,1.81226382457788e-06
"Ly6e",7.77812541923606e-11,-3.726045940378,0.964,0.989,1.95456513659983e-06
"Nudc",8.00159835018293e-11,0.675543802946758,0.174,0.323,2.01072164941747e-06
